Distance,Angle,Top,Bottom
0.80,85.00,1700.00,1870.00
0.20,85.00,1800.00,1800.00
0.90,84.00,1700.00,1870.00
0.30,84.00,1800.00,1800.00
0.30,83.00,1700.00,1870.00
0.40,83.00,1800.00,1800.00
0.40,82.00,1700.00,1870.00
0.50,82.00,1800.00,1800.00
0.60,81.00,1800.00,1800.00
0.70,79.00,1600.00,2080.00
0.80,78.00,1600.00,2080.00
0.90,77.00,1600.00,2080.00
1.10,77.00,1700.00,2040.00
1.00,76.00,1600.00,2080.00
1.20,76.00,1700.00,2040.00
1.50,76.00,1900.00,1900.00
0.90,75.00,1600.00,2080.00
1.30,75.00,1700.00,2040.00
1.50,75.00,1800.00,1980.00
1.60,75.00,1900.00,1900.00
1.00,74.00,1600.00,2080.00
1.40,74.00,1700.00,2040.00
1.50,74.00,1800.00,1980.00
1.60,74.00,1900.00,1900.00
1.10,73.00,1600.00,2080.00
1.80,73.00,1700.00,2210.00
1.30,73.00,1700.00,2040.00
1.60,73.00,1800.00,1980.00
1.70,73.00,1900.00,1900.00
1.60,72.00,1600.00,2240.00
1.90,72.00,1700.00,2210.00
1.30,72.00,1700.00,2040.00
2.10,72.00,1800.00,2160.00
1.40,72.00,1800.00,1980.00
2.20,72.00,1900.00,2090.00
1.50,72.00,1900.00,1900.00
2.30,72.00,2000.00,2000.00
1.70,71.00,1600.00,2240.00
2.00,71.00,1700.00,2210.00
1.40,71.00,1700.00,2040.00
2.10,71.00,1800.00,2160.00
1.50,71.00,1800.00,1980.00
2.30,71.00,1900.00,2090.00
1.60,71.00,1900.00,1900.00
2.40,71.00,2000.00,2000.00
2.80,71.00,2100.00,2100.00
1.80,70.00,1600.00,2240.00
2.00,70.00,1700.00,2210.00
2.20,70.00,1800.00,2160.00
2.70,70.00,1900.00,2280.00
2.30,70.00,1900.00,2090.00
2.80,70.00,2000.00,2200.00
2.40,70.00,2000.00,2000.00
2.90,70.00,2100.00,2100.00
1.90,69.00,1600.00,2240.00
2.10,69.00,1700.00,2210.00
2.30,69.00,1800.00,2160.00
2.80,69.00,1900.00,2280.00
2.40,69.00,1900.00,2090.00
2.90,69.00,2000.00,2200.00
2.50,69.00,2000.00,2000.00
3.00,69.00,2100.00,2100.00
2.30,68.00,1600.00,2400.00
1.90,68.00,1600.00,2240.00
